81,"Jarib Beckenham","jbeckenham28@simplemachines.org","56 Sloan Crossing",1
82,"Ginevra Corder","gcorder29@nyu.edu","5 Monica Trail",0
83,"Lauretta Wheatcroft","lwheatcroft2a@prnewswire.com","93 Myrtle Plaza",0
84,"Nick Imos","nimos2b@com.com","7212 Stuart Street",1
85,"Bonni Steljes","bsteljes2c@domainmarket.com","2369 Heffernan Crossing",0
86,"Hazel Bradie","hbradie2d@state.gov","86623 Sauthoff Pass",1
87,"Eugine LeEstut","eleestut2e@hibu.com","2985 Macpherson Crossing",0
88,"Burk Curnokk","bcurnokk2f@fotki.com","9745 Sloan Avenue",0
89,"Torey Shorto","tshorto2g@mapy.cz","8 Kensington Point",0
90,"Shandie Ingman","singman2h@un.org","1435 New Castle Place",0
91,"Feliks Ruffy","fruffy2i@wikia.com","53930 Portage Trail",0
92,"Cathrine Dawson","cdawson2j@cbslocal.com","4312 Sage Point",0
93,"Jenni Goede","jgoede2k@pinterest.com","6 Mcbride Parkway",0
94,"Byrom Binham","bbinham2l@taobao.com","1 Lake View Circle",0
95,"Elga Isham","eisham2m@disqus.com","79669 Riverside Place",0
96,"Willis Reisk","wreisk2n@devhub.com","425 Clove Place",1
97,"Ilise Naylor","inaylor2o@google.ca","2 Tomscot Circle",0
98,"Marybeth Murrthum","mmurrthum2p@skype.com","7 Becker Park",1
99,"Tadeo Witherspoon","twitherspoon2q@buzzfeed.com","60 Waywood Terrace",0
100,"Phillida Betun","pbetun2r@reverbnation.com","9 Portage Circle",0
